avis,Frekvens,postnummer, antall 
18,24,5966, 12 
18,24,5970, 1 
18,24,5983, 2 
18,24,5986, 1 
18,24,5993, 1 
18,24,6100, 1 
18,24,6160, 1 
18,24,6230, 1 
18,24,6264, 1 
18,24,6310, 1 
18,24,6430, 1 
18,24,6600, 1 
18,24,6700, 1 
18,24,6718, 1 
18,24,6723, 5 
18,24,6729, 1 
18,24,6737, 1 
18,24,6763, 1 
18,24,6770, 8 
18,24,6773, 1 
18,24,6774, 1 
18,24,6778, 1 
18,24,6783, 5 
18,24,6788, 2 
18,24,6789, 2 
18,24,6791, 1 
18,24,6793, 7 
18,24,6795, 3 
18,24,6796, 1 
18,24,6797, 7 
18,24,6798, 2 
18,24,6800, 132 
18,24,6809, 109 
18,24,6810, 51 
18,24,6811, 27 
18,24,6812, 92 
18,24,6813, 27 
18,24,6814, 82 
18,24,6815, 39 
18,24,6817, 152 
18,24,6818, 14 
18,24,6819, 42 
18,24,6823, 79 
18,24,6826, 36 
18,24,6827, 16 
18,24,6828, 2 
18,24,6829, 26 
18,24,6843, 108 
18,24,6847, 99 
18,24,6848, 6 
18,24,6854, 2 
18,24,6856, 7 
18,24,6858, 1 
18,24,6863, 8 
18,24,6868, 1 
18,24,6870, 1 
18,24,6871, 2 
18,24,6872, 1 
18,24,6876, 1 
18,24,6884, 4 
18,24,6885, 3 
18,24,6887, 1 
18,24,6893, 2 
18,24,6899, 7 
18,24,6900, 6 
18,24,6905, 17 
18,24,6906, 21 
18,24,6907, 7 
18,24,6908, 12 
18,24,6910, 5 
18,24,6913, 2 
18,24,6916, 1 
18,24,6924, 24 
18,24,6926, 1 
18,24,6927, 2 
18,24,6928, 4 
18,24,6929, 2 
18,24,6940, 29 
18,24,6942, 9 
18,24,6944, 2 
18,24,6947, 55 
18,24,6953, 30 
18,24,6957, 16 
18,24,6958, 39 
18,24,6963, 111 
18,24,6964, 11 
18,24,6966, 16 
18,24,6967, 25 
18,24,6968, 27 
18,24,6969, 10 
18,24,6973, 83 
18,24,6975, 8 
18,24,6977, 51 
18,24,6978, 41 
18,24,6980, 58 
18,24,6982, 36 
18,24,6983, 30 
18,24,6984, 12 
18,24,6985, 34 
18,24,6986, 7 
18,24,6987, 12 
18,24,6993, 26 
18,24,6994, 3 
18,24,6995, 34 
18,24,6996, 25 
18,24,7344, 1 
18,24,7520, 1 
18,24,7590, 1 
18,24,9900, 1 
68,24,1389, 1 
68,24,1570, 1 
68,24,2020, 1 
68,24,2054, 1 
68,24,2208, 1 
68,24,2480, 1 
68,24,2542, 1 
68,24,2642, 1 
68,24,2849, 1 
68,24,3089, 2 
68,24,3430, 1 
68,24,3475, 1 
68,24,3570, 1 
68,24,3612, 1 
68,24,4580, 1 
68,24,5727, 1 
68,24,6104, 1 
68,24,6600, 1 
68,24,6817, 1 
68,24,6823, 1 
68,24,7530, 1 
68,24,8140, 1 
68,24,8289, 1 
68,24,8409, 1 
68,24,8514, 1 
68,24,8517, 1 
68,24,8613, 1 
68,24,9510, 1 
68,24,9700, 1 
68,24,9730, 1 
68,24,9800, 2 
68,24,9801, 1 
68,24,9803, 1 
68,24,9840, 1 
68,24,9845, 2 
68,24,9900, 146 
68,24,9901, 101 
68,24,9910, 161 
68,24,9911, 47 
68,24,9912, 77 
68,24,9925, 37 
68,24,9926, 24 
68,24,9930, 29 
68,24,9935, 5 
29,25,1350, 1 
29,25,1764, 1 
29,25,2166, 1 
29,25,2634, 1 
29,25,2690, 1 
29,25,3055, 1 
29,25,3060, 1 
29,25,3070, 1 
29,25,3140, 1 
29,25,3174, 1 
29,25,3189, 1 
29,25,3440, 1 
29,25,3535, 1 
29,25,3580, 1 
29,25,3660, 1 
29,25,3803, 1 
29,25,3810, 1 
29,25,3853, 1 
29,25,3864, 2 
29,25,3870, 1 
29,25,3890, 2 
29,25,3962, 1 
29,25,4130, 1 
29,25,4200, 2 
29,25,4208, 1 
29,25,4230, 2 
29,25,4244, 4 
29,25,4250, 1 
29,25,4260, 1 
29,25,4262, 1 
29,25,4440, 1 
29,25,4443, 1 
29,25,4520, 1 
29,25,4588, 1 
29,25,4625, 1 
29,25,4754, 2 
29,25,4755, 1 
29,25,4760, 1 
29,25,4886, 1 
29,25,4900, 1 
29,25,5211, 1 
29,25,5411, 2 
29,25,5412, 1 
29,25,5414, 2 
29,25,5428, 1 
29,25,5463, 4 
29,25,5470, 1 
29,25,5475, 1 
29,25,5476, 10 
29,25,5547, 1 
29,25,5550, 6 
29,25,5554, 1 
29,25,5563, 3 
29,25,5570, 1 
29,25,5583, 1 
29,25,5590, 8 
29,25,5593, 1 
29,25,5596, 3 
29,25,5598, 2 
29,25,5600, 3 
29,25,5610, 2 
29,25,5620, 2 
29,25,5626, 8 
29,25,5627, 59 
29,25,5628, 26 
29,25,5630, 2 
29,25,5636, 2 
29,25,5650, 3 
29,25,5680, 1 
29,25,5685, 1 
29,25,5693, 1 
29,25,5706, 1 
29,25,5709, 2 
29,25,5710, 1 
29,25,5725, 1 
29,25,5729, 1 
29,25,5730, 13 
29,25,5734, 6 
29,25,5736, 6 
29,25,5750, 623 
29,25,5760, 61 
29,25,5763, 74 
29,25,5770, 40 
29,25,5773, 51 
29,25,5776, 101 
29,25,5777, 61 
29,25,5778, 56 
29,25,5780, 79 
29,25,5781, 109 
29,25,5783, 43 
29,25,5784, 10 
29,25,5785, 3 
29,25,5981, 1 
29,25,6009, 1 
29,25,6063, 1 
29,25,6120, 1 
29,25,6600, 1 
29,25,6655, 1 
29,25,6788, 2 
29,25,6856, 1 
29,25,6993, 1 
29,25,6996, 1 
29,25,8400, 1 
29,25,9050, 1 
29,25,9440, 1 
34,235,1389, 1 
34,235,1475, 1 
34,235,1580, 1 
34,235,2000, 1 
34,235,2015, 1 
34,235,2480, 1 
34,235,2850, 1 
34,235,3031, 1 
34,235,3060, 1 
34,235,3140, 1 
34,235,3406, 1 
34,235,3612, 1 
34,235,3719, 1 
34,235,3742, 1 
34,235,3748, 1 
34,235,3750, 1 
34,235,3830, 1 
34,235,3850, 1 
34,235,3855, 1 
34,235,3947, 1 
34,235,4180, 1 
34,235,4250, 1 
34,235,4270, 1 
34,235,4308, 1 
34,235,4331, 1 
34,235,4372, 1 
34,235,4376, 5 
34,235,4380, 32 
34,235,4387, 1 
34,235,4400, 265 
34,235,4404, 179 
34,235,4405, 200 
34,235,4406, 201 
34,235,4407, 146 
34,235,4420, 33 
34,235,4432, 94 
34,235,4434, 11 
34,235,4436, 72 
34,235,4438, 118 
34,235,4440, 151 
34,235,4443, 32 
34,235,4460, 246 
34,235,4462, 46 
34,235,4463, 11 
34,235,4473, 59 
34,235,4480, 587 
34,235,4484, 58 
34,235,4485, 81 
34,235,4516, 1 
34,235,4520, 3 
34,235,4550, 10 
34,235,4560, 7 
34,235,4580, 20 
34,235,4588, 2 
34,235,4590, 1 
34,235,4595, 3 
34,235,4596, 3 
34,235,4610, 1 
34,235,4623, 2 
34,235,4628, 1 
34,235,4636, 2 
34,235,4640, 1 
34,235,4658, 1 
34,235,4707, 1 
34,235,4724, 1 
34,235,4737, 1 
34,235,4760, 1 
34,235,4770, 1 
34,235,4790, 1 
34,235,4818, 1 
34,235,4885, 1 
34,235,4887, 1 
34,235,4985, 1 
34,235,4993, 1 
34,235,5414, 1 
34,235,5560, 1 
34,235,5590, 1 
34,235,5713, 1 
34,235,5728, 1 
34,235,6440, 1 
34,235,6893, 1 
34,235,8850, 1 
22,4,2022, 1 
22,4,2270, 1 
22,4,2280, 1 
22,4,2550, 1 
22,4,2560, 1 
22,4,2634, 1 
22,4,3616, 1 
22,4,6013, 1 
22,4,6687, 1 
22,4,6843, 1 
22,4,7177, 1 
22,4,7200, 1 
22,4,7212, 46 
22,4,7213, 16 
22,4,7224, 264 
22,4,7228, 39 
22,4,7232, 38 
22,4,7234, 38 
22,4,7236, 29 
22,4,7255, 1 
22,4,7288, 2 
22,4,7290, 1 
22,4,7300, 3 
22,4,7310, 1 
22,4,7320, 1 
22,4,7327, 2 
22,4,7332, 1 
22,4,7334, 2 
22,4,7350, 18 
22,4,7353, 2 
22,4,7357, 6 
22,4,7374, 1 
22,4,7517, 1 
22,4,7540, 1 
22,4,7550, 1 
22,4,8530, 1 
42,24,1927, 1 
42,24,1960, 1 
42,24,2000, 1 
42,24,2214, 1 
42,24,3057, 1 
42,24,3560, 1 
42,24,6280, 1 
42,24,6885, 1 
42,24,7057, 1 
42,24,7190, 1 
42,24,8063, 4 
42,24,8064, 2 
42,24,8270, 1 
42,24,8283, 1 
42,24,8289, 1 
42,24,8300, 183 
42,24,8310, 106 
42,24,8312, 18 
42,24,8313, 18 
42,24,8314, 17 
42,24,8315, 18 
42,24,8316, 17 
42,24,8317, 4 
42,24,8320, 5 
42,24,8323, 1 
42,24,8324, 8 
42,24,8325, 1 
42,24,8326, 1 
42,24,8328, 2 
42,24,8340, 57 
42,24,8352, 5 
42,24,8357, 9 
42,24,8360, 83 
42,24,8370, 215 
42,24,8372, 75 
42,24,8373, 38 
42,24,8380, 24 
42,24,8382, 27 
42,24,8384, 10 
42,24,8385, 3 
42,24,8387, 13 
42,24,8390, 22 
42,24,8392, 26 
42,24,8400, 1 
42,24,8402, 2 
42,24,8403, 1 
42,24,8404, 3 
42,24,8406, 1 
42,24,8407, 1 
42,24,8410, 1 
42,24,8412, 3 
42,24,8415, 1 
42,24,8416, 1 
42,24,8445, 3 
42,24,8450, 7 
42,24,8475, 1 
42,24,8480, 1 
42,24,8488, 1 
42,24,8514, 1 
42,24,8520, 1 
42,24,8534, 1 
42,24,8540, 1 
42,24,8618, 1 
42,24,8661, 1 
42,24,8665, 1 
42,24,8860, 1 
42,24,8870, 1 
42,24,8984, 1 
42,24,9143, 1 
42,24,9147, 1 
42,24,9159, 1 
42,24,9303, 1 
42,24,9372, 1 
42,24,9406, 1 
42,24,9475, 1 
42,24,9511, 1 
41,4,1900, 1 
41,4,1923, 1 
41,4,1927, 1 
41,4,1930, 1 
41,4,2160, 1 
41,4,2770, 1 
41,4,2819, 1 
41,4,2827, 1 
41,4,3080, 1 
41,4,3157, 1 
41,4,3320, 1 
41,4,3440, 1 
41,4,3511, 1 
41,4,3570, 1 
41,4,3940, 1 
41,4,5713, 1 
41,4,6390, 1 
41,4,6863, 1 
41,4,6869, 1 
41,4,6885, 1 
41,4,7125, 1 
41,4,7140, 1 
41,4,7300, 1 
41,4,7374, 1 
41,4,7710, 1 
41,4,7715, 1 
41,4,7730, 1 
41,4,8004, 1 
41,4,8050, 1 
41,4,8146, 1 
41,4,8300, 2 
41,4,8314, 1 
41,4,8340, 54 
41,4,8352, 5 
41,4,8357, 4 
41,4,8360, 77 
41,4,8370, 245 
41,4,8372, 84 
41,4,8373, 44 
41,4,8380, 19 
41,4,8382, 21 
41,4,8384, 2 
41,4,8385, 1 
41,4,8387, 6 
41,4,8390, 15 
41,4,8392, 18 
41,4,8400, 1 
41,4,8410, 1 
41,4,8445, 2 
41,4,8480, 1 
41,4,8530, 1 
41,4,8540, 1 
41,4,8617, 1 
41,4,8657, 1 
41,4,8660, 2 
41,4,8665, 1 
41,4,8684, 1 
41,4,8908, 1 
41,4,8984, 2 
41,4,9303, 1 
41,4,9311, 1 
41,4,9325, 3 
41,4,9404, 1 
41,4,9440, 1 
41,4,9511, 2 
41,4,9512, 1 
41,4,9700, 1 
41,4,9800, 1 
41,4,9935, 1 
52,24,1389, 1 
52,24,1550, 1 
52,24,2000, 2 
52,24,3430, 1 
52,24,7980, 2 
52,24,8185, 2 
52,24,8186, 1 
52,24,8188, 1 
52,24,8196, 1 
52,24,8289, 1 
52,24,8294, 1 
52,24,8406, 2 
52,24,8610, 121 
52,24,8611, 25 
52,24,8613, 119 
52,24,8614, 98 
52,24,8615, 53 
52,24,8616, 105 
52,24,8617, 23 
52,24,8618, 66 
52,24,8622, 151 
52,24,8624, 150 
52,24,8626, 61 
52,24,8630, 35 
52,24,8640, 53 
52,24,8642, 18 
52,24,8643, 29 
