postnummer
0010
0026
0030
0032
0033
0105
0130
0131
0139
0150
0151
0152
0153
0154
0155
0157
0158
0161
0162
0164
0165
0166
0167
0170
0172
0177
0179
0180
0181
0182
0183
0186
0187
0188
0190
0191
0250
0252
0254
0255
0256
0260
0274
0277
0278
0280
0283
0303
0315
0358
0361
0363
0368
0373
0377
0380
0458
0470
0477
0483
0484
0488
0489
0495
0551
0554
0557
0558
0576
0579
0585
0650
0655
0663
0667
0673
0685
0689
0694
0756
0758
0764
0781
0782
0783
0786
0787
0788
0851
0853
0855
0860
0862
0875
0890
0950
0952
1069
1081
1156
1160
1161
1164
1170
1182
1254
1285
1336
1339
1340
1341
1346
1348
1349
1353
1354
1357
1358
1362
1363
1366
1383
1384
1385
1388
1392
1395
1397
1400
1402
1404
1405
1406
1407
1412
1413
1425
1430
1431
1432
1433
1434
1435
1444
1445
1446
1447
1449
1450
1454
1455
1456
1458
1459
1467
1470
1476
1482
1484
1501
1515
1525
1526
1531
1540
1543
1545
1553
1560
1597
1606
1621
1624
1628
1657
1675
1707
1743
1776
1778
1779
1782
1785
1830
1893
1929
2010
2013
2051
2066
2069
2070
2165
2302
2318
2408
2411
2414
2421
2551
2609
2613
2615
2817
2820
2821
3037
3058
3117
3121
3187
3225
3300
3426
3472
3517
3679
3718
3723
3740
3800
4002
4014
4016
4051
4139
4344
4346
4352
4353
4354
4355
4360
4816
4823
4824
4844
5073
5108
5131
5134
5154
5217
5464
5704
5741
5787
5912
5917
5936
6601
6891
6991
7005
7012
7013
7031
7036
0107
0135
0212
0214
0374
0482
0584
0968
1387
1423
1471
1517
1538
1625
1663
1721
1768
1802
1806
1851
2004
2007
2068
2307
2341
3230
3236
3258
3400
3502
3504
3513
3917
3930
3970
4029
4033
4276
4314
5137
5144
5253
5355
5378
5417
5455
6416
6487
7221
7319
7491
7712
7725
7869
8301
8976
1364
1448
1087
1443
1738
1808
1867
1931
2014
2071
2151
2405
2481
2818
2901
3001
3013
3029
3034
3053
3061
3150
3221
3227
3244
3249
3260
3361
3470
3537
3715
3746
3747
3944
3960
3966
5305
5314
5336
5452
5517
6017
6067
6090
6099
6224
7023
7081
7082
7091
7151
7223
7504
7603
8008
8011
8012
8200
9006
9019
9100
9408
9664
0192
0474
3234
3933
3939
3941
4018
4032
4379
4838
4858
5731
0121
0754
1067
1273
1274
1673
3738
4025
5031
5033
5034
5035
5036
5037
5042
5052
5053
5054
5056
5063
5081
5096
5097
5098
5099
5114
5115
5130
5142
5145
5148
5151
5155
5162
5170
5172
5178
5179
5184
5210
5232
5308
5350
5532
0692
8027
8072
9008
9011
9012
9305
9326
9329
0476
1390
5022
5032
5038
5058
5089
5105
5116
5117
5118
5119
5124
5164
5183
5201
5261
5262
5267
5301
5353
5363
5914
6050
6961
8005
0251
0382
0508
0581
0607
0751
1360
3120
3127
3132
3154
3172
3181
3209
3211
3218
3226
3128
1086
4401
4616
4888
5519
0664
3019
3028
3421
1671
1702
1705
1706
1710
1711
1724
1725
1771
1787
2006
6003
0586
2409
5366
7014
7015
7026
7032
7068
7503
5556
4356
4368
4391
0456
9502
9508
0982
1168
4104
0276
0037
0193
0196
0198
0480
1256
1429
0259
0973
0881
1371
0583
0872
4841
0771
0467
0263
5016
5017
5104
5106
5107
5109
5111
5113
5121
5122
5147
0133
5010
5013
5018
5043
5055
5057
5068
5075
5146
5152
5160
5163
5171
5173
5176
5177
5202
5230
5304
5306
5334
5347
5354
5365
5371
5380
5396
5805
5807
5811
5816
5824
5826
5886
5889
0101
5835
5853
5857
7435
7437
0571
0870
7044
7098
7671
7771
0353
1786
7069
7079
7531
9010
7010
7072
7801
7821
7871
7874
7878
7891
7971
7983
5867
5931
5963
6018
6425
7761
8619
0597
0666
0674
0963
1483
3571
5742
6011
6782
6882
6886
6898
6401
7708
7709
7795
9101
0424
2121
2581
7004
7434
6037
7153
6841
6902
6959
0861
1441
1442
1451
1556
1380
1772
8001
8002
8009
8010
8013
8015
8019
8021
8022
8023
8026
8037
8039
8041
8049
8058
8062
8071
8074
8075
8076
8079
8138
8151
8207
8251
8271
8502
8507
0171
0372
0468
0852
6413
7424
1801
0986
4953
4971
7097
GB
0560
9002
9292
9485
9521
3301
3351
3357
3371
3543
1831
1916
1917
3054
9691
9714
9751
9009
9820
7019
9416
0658
0981
5299
6728
6807
6941
8459
8503
8505
8508
9104
9439
8801
0323
5465
8311
9259
9273
9275
3255
3259
3265
3722
0279
0319
0660
0757
0763
0772
0784
2024
3106
3119
3163
3166
0178
3910
3916
3918
3922
3928
3929
3942
8638
8641
8648
8701
0001
0475
1055
2065
0450
2954
3501
3701
3884
3886
4756
1833
1701
1703
1726
1745
9914
3705
3710
3749
3832
3902
4239
6035
6039
6405
6502
6503
6504
6538
6571
6688
6689
0270
0790
4801
4803
4864
4916
4955
6005
6707
0511
0051
0111
0169
0173
0174
0357
0507
0552
0570
0578
0759
1052
1309
1378
1662
1753
1921
2026
2035
2041
2081
2207
2271
2304
2401
2605
2639
3581
3831
4092
4553
4647
6091
6095
6096
6102
6211
6263
6339
6395
6397
6452
6708
6790
6792
7159
7169
7321
7452
