avis,Frekvens,postnummer, antall
18,24,5164,  1 
18,24,5165,  1 
18,24,5174,  1 
18,24,5223,  2 
18,24,5224,  1 
18,24,5228,  1 
18,24,5235,  2 
18,24,5238,  1 
18,24,5251,  2 
18,24,5260,  1 
18,24,5261,  2 
18,24,5265,  1 
18,24,5267,  1 
18,24,5305,  1 
18,24,5307,  1 
18,24,5353,  1 
18,24,5363,  1 
18,24,5416,  1 
18,24,5472,  1 
18,24,5902,  1 
18,24,5918,  1 
18,24,6019,  1 
18,24,6037,  1 
18,24,6080,  1 
18,24,6103,  1 
18,24,6416,  1 
18,24,6721,  2 
18,24,6771,  1 
18,24,6781,  1 
18,24,6782,  1 
18,24,6801,  10 
18,24,6802,  9 
18,24,6803,  4 
18,24,6806,  4 
18,24,6821,  3 
18,24,6822,  2 
18,24,6841,  1 
18,24,6851,  3 
18,24,6866,  1 
18,24,6891,  1 
18,24,6898,  1 
18,24,6901,  7 
18,24,6902,  2 
18,24,6959,  1 
18,24,6961,  2 
18,24,6988,  7 
18,24,6991,  16 
18,24,7052,  1 
18,24,8607,  1 
18,24,DE,  1 
68,24,107,  1 
68,24,121,  1 
68,24,154,  1 
68,24,284,  1 
68,24,364,  1 
68,24,454,  1 
68,24,467,  1 
68,24,568,  1 
68,24,579,  1 
68,24,584,  1 
68,24,660,  1 
68,24,681,  1 
68,24,853,  1 
68,24,986,  1 
68,24,1433,  1 
68,24,1470,  2 
68,24,1486,  1 
68,24,1624,  1 
68,24,2052,  1 
68,24,2409,  1 
68,24,2414,  1 
68,24,3292,  1 
68,24,3517,  1 
68,24,3717,  1 
68,24,3732,  1 
68,24,4317,  1 
68,24,4329,  1 
68,24,4844,  1 
68,24,5218,  1 
68,24,5224,  1 
68,24,7021,  1 
68,24,7037,  1 
68,24,7074,  1 
68,24,8607,  1 
68,24,9037,  1 
68,24,9299,  1 
68,24,9501,  1 
68,24,9504,  1 
68,24,9616,  1 
68,24,9811,  1 
68,24,9815,  1 
68,24,9914,  4 
68,24,9915,  12 
68,24,9916,  6 
68,24,9917,  2 
29,246,121,  1 
29,246,214,  1 
29,246,323,  1 
29,246,360,  1 
29,246,491,  1 
29,246,575,  1 
29,246,576,  2 
29,246,671,  1 
29,246,873,  1 
29,246,874,  1 
29,246,958,  1 
29,246,960,  1 
29,246,1069,  1 
29,246,1339,  1 
29,246,1358,  1 
29,246,1383,  1 
29,246,1384,  1 
29,246,1407,  1 
29,246,1410,  1 
29,246,1412,  1 
29,246,1423,  2 
29,246,1430,  2 
29,246,1434,  1 
29,246,1453,  1 
29,246,1470,  1 
29,246,1516,  1 
29,246,1605,  1 
29,246,1632,  1 
29,246,1633,  1 
29,246,1914,  1 
29,246,3173,  1 
29,246,3234,  1 
29,246,3300,  1 
29,246,3426,  1 
29,246,3517,  1 
29,246,3712,  1 
29,246,4006,  1 
29,246,4009,  1 
29,246,4010,  1 
29,246,4018,  1 
29,246,4019,  3 
29,246,4021,  2 
29,246,4022,  1 
29,246,4023,  1 
29,246,4032,  1 
29,246,4034,  1 
29,246,4041,  1 
29,246,4042,  1 
29,246,4047,  1 
29,246,4056,  2 
29,246,4070,  1 
29,246,4083,  1 
29,246,4085,  1 
29,246,4158,  1 
29,246,4201,  1 
29,246,4276,  1 
29,246,4307,  2 
29,246,4313,  1 
29,246,4318,  1 
29,246,4319,  1 
29,246,4321,  1 
29,246,4327,  1 
29,246,4330,  1 
29,246,4336,  1 
29,246,4345,  1 
29,246,4370,  1 
29,246,4371,  1 
29,246,4617,  1 
29,246,4843,  1 
29,246,5003,  1 
29,246,5005,  1 
29,246,5006,  2 
29,246,5008,  2 
29,246,5015,  1 
29,246,5019,  1 
29,246,5020,  2 
29,246,5021,  1 
29,246,5035,  1 
29,246,5043,  1 
29,246,5054,  1 
29,246,5063,  1 
29,246,5072,  1 
29,246,5073,  1 
29,246,5081,  1 
29,246,5089,  1 
29,246,5098,  1 
29,246,5106,  1 
29,246,5107,  1 
29,246,5117,  1 
29,246,5119,  1 
29,246,5122,  1 
29,246,5124,  1 
29,246,5142,  2 
29,246,5143,  1 
29,246,5144,  1 
29,246,5148,  1 
29,246,5152,  1 
29,246,5161,  1 
29,246,5164,  1 
29,246,5170,  2 
29,246,5176,  1 
29,246,5183,  1 
29,246,5210,  1 
29,246,5212,  1 
29,246,5221,  1 
29,246,5222,  1 
29,246,5223,  1 
29,246,5224,  1 
29,246,5227,  1 
29,246,5232,  3 
29,246,5236,  1 
29,246,5239,  1 
29,246,5243,  1 
29,246,5244,  1 
29,246,5251,  2 
29,246,5253,  2 
29,246,5254,  1 
29,246,5258,  2 
29,246,5259,  1 
29,246,5264,  1 
29,246,5267,  1 
29,246,5268,  1 
29,246,5299,  1 
29,246,5300,  1 
29,246,5302,  1 
29,246,5307,  1 
29,246,5353,  5 
29,246,5363,  1 
29,246,5371,  1 
29,246,5410,  2 
29,246,5415,  2 
29,246,5416,  2 
29,246,5417,  1 
29,246,5450,  1 
29,246,5451,  1 
29,246,5458,  1 
29,246,5460,  4 
29,246,5462,  1 
29,246,5472,  2 
29,246,5480,  1 
29,246,5484,  1 
29,246,5519,  1 
29,246,5527,  1 
29,246,5529,  1 
29,246,5532,  1 
29,246,5534,  1 
29,246,5535,  1 
29,246,5536,  1 
29,246,5538,  1 
29,246,5542,  1 
29,246,5601,  1 
29,246,5629,  3 
29,246,5635,  2 
29,246,5637,  1 
29,246,5648,  1 
29,246,5700,  3 
29,246,5701,  3 
29,246,5704,  1 
29,246,5705,  6 
29,246,5731,  1 
29,246,5733,  1 
29,246,5742,  1 
29,246,5751,  15 
29,246,5752,  1 
29,246,5775,  3 
29,246,5779,  1 
29,246,5782,  4 
29,246,5786,  3 
29,246,5787,  3 
29,246,5788,  1 
29,246,5807,  1 
29,246,5888,  1 
29,246,5911,  1 
29,246,5915,  1 
29,246,5936,  1 
29,246,6024,  1 
29,246,6150,  1 
29,246,6154,  1 
29,246,7022,  1 
29,246,7079,  1 
29,246,7491,  1 
29,246,7653,  1 
29,246,8006,  1 
29,246,8209,  1 
29,246,8607,  1 
29,246,9019,  1 
34,25,26,  2 
34,25,121,  1 
34,25,167,  1 
34,25,177,  1 
34,25,271,  1 
34,25,351,  1 
34,25,377,  1 
34,25,378,  1 
34,25,381,  1 
34,25,382,  1 
34,25,464,  1 
34,25,482,  1 
34,25,485,  1 
34,25,495,  1 
34,25,565,  1 
34,25,659,  1 
34,25,667,  1 
34,25,751,  1 
34,25,854,  1 
34,25,873,  1 
34,25,883,  1 
34,25,955,  1 
34,25,1086,  1 
34,25,1162,  1 
34,25,1181,  1 
34,25,1346,  1 
34,25,1358,  2 
34,25,1362,  1 
34,25,1363,  1 
34,25,1369,  1 
34,25,1394,  1 
34,25,1395,  1 
34,25,1397,  1 
34,25,1449,  1 
34,25,1482,  1 
34,25,1628,  1 
34,25,2151,  1 
34,25,2315,  1 
34,25,2821,  1 
34,25,3128,  1 
34,25,3182,  1 
34,25,3412,  1 
34,25,3513,  1 
34,25,3611,  1 
34,25,3716,  1 
34,25,3734,  1 
34,25,4005,  1 
34,25,4007,  1 
34,25,4010,  1 
34,25,4014,  1 
34,25,4015,  2 
34,25,4016,  2 
34,25,4017,  3 
34,25,4018,  1 
34,25,4019,  1 
34,25,4020,  2 
34,25,4022,  1 
34,25,4025,  2 
34,25,4027,  1 
34,25,4029,  1 
34,25,4032,  2 
34,25,4034,  2 
34,25,4041,  3 
34,25,4042,  1 
34,25,4046,  1 
34,25,4048,  1 
34,25,4049,  1 
34,25,4050,  2 
34,25,4051,  1 
34,25,4052,  1 
34,25,4055,  1 
